parent_name,utility_name,respondent_id,year,technology,employees_in_thousands
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2018,other_fossil,238
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2018,steam,390
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2019,hydro,17
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2019,nuclear,2022
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2019,other_fossil,197
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2019,steam,354
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2020,hydro,16
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2020,nuclear,1837
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2020,other_fossil,166
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2020,steam,297
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2005,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2006,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2007,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2008,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2009,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2010,hydro,27
Brookfield Asset Management,Catalyst Old River Hydroelectric Ltd.,18,2011,hydro,27
Cleco Partners LP,Cleco Power LLC,22,2005,steam,200
Cleco Partners LP,Cleco Power LLC,22,2006,steam,189
Cleco Partners LP,Cleco Power LLC,22,2007,steam,210
Cleco Partners LP,Cleco Power LLC,22,2008,steam,243
Cleco Partners LP,Cleco Power LLC,22,2009,steam,251
Cleco Partners LP,Cleco Power LLC,22,2010,steam,278
Cleco Partners LP,Cleco Power LLC,22,2011,steam,284
Cleco Partners LP,Cleco Power LLC,22,2012,other_fossil,39
Cleco Partners LP,Cleco Power LLC,22,2012,steam,303
Cleco Partners LP,Cleco Power LLC,22,2013,other_fossil,39
Cleco Partners LP,Cleco Power LLC,22,2013,steam,302
Cleco Partners LP,Cleco Power LLC,22,2014,other_fossil,77
Cleco Partners LP,Cleco Power LLC,22,2014,steam,299
Cleco Partners LP,Cleco Power LLC,22,2015,other_fossil,81
Cleco Partners LP,Cleco Power LLC,22,2015,steam,297
Cleco Partners LP,Cleco Power LLC,22,2016,other_fossil,83
Cleco Partners LP,Cleco Power LLC,22,2016,steam,296
Cleco Partners LP,Cleco Power LLC,22,2017,other_fossil,84
Cleco Partners LP,Cleco Power LLC,22,2017,steam,300
Cleco Partners LP,Cleco Power LLC,22,2018,other_fossil,83
Cleco Partners LP,Cleco Power LLC,22,2018,steam,295
Cleco Partners LP,Cleco Power LLC,22,2019,other_fossil,82
Cleco Partners LP,Cleco Power LLC,22,2019,steam,286
Cleco Partners LP,Cleco Power LLC,22,2020,other_fossil,81
Cleco Partners LP,Cleco Power LLC,22,2020,steam,275
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2005,other_fossil,37
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2005,steam,399
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2006,other_fossil,71
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2006,steam,457
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2007,other_fossil,68
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2007,steam,438
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2008,other_fossil,70
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2008,steam,441
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2009,other_fossil,7
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2009,steam,458
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2010,other_fossil,5
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2010,steam,409
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2011,other_fossil,71
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2011,steam,366
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2012,other_fossil,2
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2012,steam,427
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2013,other_fossil,3
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2013,steam,379
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2014,other_fossil,3
Duke Energy Corp.,"Duke Energy Ohio, Inc.",27,2014,steam,348
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2005,other_fossil,15
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2005,steam,331
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2006,other_fossil,17
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2006,steam,320
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2007,other_fossil,22
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2007,steam,322
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2008,other_fossil,25
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2008,steam,340
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2009,other_fossil,24
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2009,steam,357
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2010,other_fossil,22
"American Electric Power Co., Inc.",Columbus Southern Power Co.,31,2010,steam,338
"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",36,2005,other_fossil,377
"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",36,2005,steam,253
"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",36,2006,other_fossil,377
"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",36,2006,steam,253
"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",36,2007,other_fossil,377
