utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
Alaska Electric Light & Power Co.,3,2006,2,commercial,1434,55045,4434914
Alaska Electric Light & Power Co.,3,2006,3,industrial,98,71712,4460245
Alaska Electric Light & Power Co.,3,2006,8,public_authorities,438,78417,5691311
Alaska Electric Light & Power Co.,3,2006,4,public_street_and_highway_lighting,228,1150,218125
Alaska Electric Light & Power Co.,3,2006,6,residential,13500,140516,13611432
Alaska Electric Light & Power Co.,3,2005,2,commercial,1407,52001,4147859
Alaska Electric Light & Power Co.,3,2005,3,industrial,99,53575,3771640
Alaska Electric Light & Power Co.,3,2005,8,public_authorities,461,74652,5299919
Alaska Electric Light & Power Co.,3,2005,4,public_street_and_highway_lighting,231,1117,211086
Alaska Electric Light & Power Co.,3,2005,6,residential,13313,132002,12631539
The Allegheny Generating Co.,5,2020,1,sales_for_resale,3882,,24227942
The Allegheny Generating Co.,5,2019,1,sales_for_resale,3882,,22884104
The Allegheny Generating Co.,5,2018,1,sales_for_resale,3882,,33060524
The Allegheny Generating Co.,5,2017,1,sales_for_resale,3882,,47782000
The Allegheny Generating Co.,5,2016,1,sales_for_resale,3882,,54508000
The Allegheny Generating Co.,5,2015,1,sales_for_resale,3882,,57547000
The Allegheny Generating Co.,5,2014,1,sales_for_resale,3882,,57723000
The Allegheny Generating Co.,5,2013,1,sales_for_resale,3882,,57890000
The Allegheny Generating Co.,5,2012,1,sales_for_resale,3882,,54074000
The Allegheny Generating Co.,5,2011,1,sales_for_resale,3882,,57351000
The Allegheny Generating Co.,5,2010,1,sales_for_resale,3882,,64240000
The Allegheny Generating Co.,5,2009,1,sales_for_resale,3882,,65811000
The Allegheny Generating Co.,5,2008,1,sales_for_resale,3882,,66866000
The Allegheny Generating Co.,5,2007,1,sales_for_resale,2,,67367000
The Allegheny Generating Co.,5,2006,1,sales_for_resale,2,,65319000
The Allegheny Generating Co.,5,2005,1,sales_for_resale,2,,66602000
Appalachian Power Co.,6,2020,2,commercial,137143,5886796,526854763
Appalachian Power Co.,6,2020,3,industrial,4210,8873357,563789888
Appalachian Power Co.,6,2020,8,public_authorities,6253,729260,61094193
Appalachian Power Co.,6,2020,4,public_street_and_highway_lighting,1716,64508,7783854
Appalachian Power Co.,6,2020,5,rate_refunds,3882,,-4670543
Appalachian Power Co.,6,2020,6,residential,810840,10915394,1273007898
Appalachian Power Co.,6,2020,1,sales_for_resale,3882,5600007,253242272
Appalachian Power Co.,6,2019,2,commercial,136120,6364462,562202007
Appalachian Power Co.,6,2019,3,industrial,4250,9546233,594602826
Appalachian Power Co.,6,2019,8,public_authorities,6256,792616,67743839
Appalachian Power Co.,6,2019,4,public_street_and_highway_lighting,1724,64367,7814732
